logged_at,run_id,world,elapsed_seconds,start_population,final_population,start_base_damage,final_base_damage,start_shot_damage,final_shot_damage,start_fire_rate,final_fire_rate,start_volley_multiplier,final_volley_multiplier,start_dps,final_dps,dps_growth,gold_before_reward,enemy_kills,cards
20260907-202550-463121,20260907-202405-214564,1,105.255,1,756,10.0,10.0,10.0,7560.0,8.0,8.0,1.0,1.0,80.0,60480.0,756.0,14,74,
20260907-202807-019384,20260907-202405-214564,2,105.812,1,979,10.0,10.0,10.0,9790.0,8.24,8.24,1.0,1.0,82.4,80669.6,979.0,21,86,growth_fire;refresh_deal;elite_damage;dividend
20260907-203049-490513,20260907-202405-214564,3,103.49,10,1943,11.0,11.0,110.0,28853.55,10.176,10.176,1.0,1.0,1119.36,293613.7248,262.305,34,97,growth_fire;elite_damage;dividend;growth_recovery+population;runner
20260907-203336-683323,20260907-202405-214564,4,102.299,17,3507,11.0,11.0,187.0,38577.0,11.424,11.424,1.0,1.0,2136.288,440703.648,206.2941,72,106,growth_fire;dividend;growth_recovery+population;splash+population;gate_master+fire_rate
20260907-203648-278050,20260907-202405-214564,5,104.992,8,5669,11.0,11.0,88.0,62359.0,11.712,16.512,1.0,1.0,1030.656,1029671.808,999.0451,128,150,growth_fire;splash+population;gate_master+fire_rate;resonance;population_fire
20260907-203907-638737,20260907-202405-214564,6,97.939,10,7804,15.0,15.0,138.0,107695.2,14.04,24.44,1.0,1.0,1937.52,2632070.688,1358.4741,147,175,splash+population;gate_master+fire_rate;resonance;population_fire;overclock
20260907-204240-120860,20260907-202405-214564,7,95.931,5,502019,15.0,15.0,131.25,18825712.5,11.44,16.64,1.9,1.9,2852.85,595193726.4,208631.2727,237,227,gate_master+fire_rate;resonance;population_fire;shotgun;rich_damage
20260907-204422-244283,20260907-202405-214564,8,94.394,5,1462681,15.0,15.0,183.75,69111677.25,11.44,21.84,1.9,1.9,3993.99,2867858159.166,718043.4,434,324,gate_master+fire_rate;resonance;population_fire;shotgun;rich_damage
20260907-210355-941805,20260907-210159-894742,1,116.054,1,572,10.0,10.0,10.0,5720.0,8.0,8.0,1.0,1.0,80.0,45760.0,572.0,9,81,
20260907-210713-518280,20260907-210529-399105,1,104.126,1,1243,10.0,10.0,10.0,12430.0,8.0,8.0,1.0,1.0,80.0,99440.0,1243.0,14,74,
20260907-210928-991427,20260907-210529-399105,2,96.949,3,2377,11.0,11.0,33.0,26147.0,8.0,12.0,1.3,1.3,343.2,407893.2,1188.5,29,83,double_shot;growth_recovery
20260907-211130-503677,20260907-210529-399105,3,97.883,5,5072,11.0,11.0,55.0,75319.2,8.0,12.0,1.3,1.3,572.0,1174979.52,2054.16,56,91,double_shot;growth_recovery;gate_master;population_fire;special_profit
20260907-211416-814323,20260907-210529-399105,4,97.192,11,9213,12.0,12.0,132.0,149250.6,9.6,14.4,1.5,1.5,1900.8,3223812.96,1696.0295,71,110,growth_recovery;gate_master;population_fire;triple_shot;growth_gate
20260907-211741-122021,20260907-210529-399105,5,93.289,9,84504,13.0,13.0,124.02,1548958.32,10.816,16.016,1.5,1.5,2012.1005,37212174.6797,18494.193,45,126,gate_master;population_fire;triple_shot;gate_damage;growth_core
20260907-211949-864565,20260907-210529-399105,6,95.704,7,152982,14.0,14.0,122.5,3105534.6,10.4,20.8,1.5,1.5,1911.0,96892679.52,50702.6057,93,156,gate_master;population_fire;triple_shot;gate_damage;rich_damage+damage
20260907-212143-087408,20260907-210529-399105,7,99.776,7,122747,16.0,16.0,156.8,3731508.8,10.4,15.6,1.5,1.5,2446.08,87317305.92,35696.8316,115,213,gate_master;population_fire;triple_shot;gate_damage;rich_damage+damage
20260907-212323-503399,20260907-210529-399105,8,95.324,7,118713,16.0,16.0,190.4,4273668.0,10.4,15.6,1.5,1.5,2970.24,100003831.2,33668.6029,184,298,gate_master;population_fire;triple_shot;gate_damage;rich_damage+damage
20260907-213440-686783,20260907-213246-888643,1,113.805,1,451,10.0,10.0,10.0,4510.0,8.0,8.0,1.0,1.0,80.0,36080.0,451.0,9,76,
20260907-213659-671847,20260907-213246-888643,2,106.712,3,940,11.0,11.0,33.0,10340.0,9.064,9.064,1.0,1.0,299.112,93721.76,313.3333,17,85,growth_fire
20260907-213854-787268,20260907-213246-888643,3,99.405,8,5859,11.0,11.0,88.0,87006.15,9.328,9.328,1.9,1.9,1559.6416,1542027.3977,988.7063,35,94,growth_fire;move_speed+population;shotgun
20260907-214110-391713,20260907-213246-888643,4,99.958,8,5208,11.0,11.0,96.8,91660.8,8.8,8.8,1.9,1.9,1618.496,1532568.576,946.9091,51,113,move_speed+population;shotgun;rich_damage;gate_damage;fast_bullet
20260907-214307-970653,20260907-213246-888643,5,91.156,3,286002,11.0,11.0,37.95,4089828.6,11.2,11.2,1.9,1.9,807.576,87031552.608,107768.8696,63,130,shotgun;rich_damage;gate_damage;growth_gate;gate_master
20260907-214459-631866,20260907-213246-888643,6,101.127,5,24166,13.0,13.0,78.0,486944.9,12.0,12.0,1.9,1.9,1778.4,11102343.72,6242.8833,46,164,shotgun;rich_damage;gate_damage;growth_gate;gate_master
20260907-214706-322843,20260907-213246-888643,7,107.09,9,11955,14.0,14.0,138.6,200844.0,12.0,12.0,1.9,1.9,3160.08,4579243.2,1449.0909,43,234,shotgun;rich_damage;gate_damage;growth_gate;gate_master
20260907-215712-542176,20260907-215514-562574,1,116.992,1,488,10.0,10.0,10.0,4880.0,8.0,8.0,1.0,1.0,80.0,39040.0,488.0,9,81,
20260907-215907-878431,20260907-215514-562574,2,95.52,12,3331,10.0,10.0,120.0,33310.0,8.0,12.0,1.0,1.0,960.0,399720.0,416.375,13,83,population_fire+population;gate_damage;recruit;pierce
20260907-220108-437013,20260907-215514-562574,3,94.879,11,13926,10.0,10.0,110.0,139260.0,8.0,12.0,1.3,1.3,1144.0,2172456.0,1899.0,41,96,population_fire+population;gate_damage;pierce;boss_bounty+population;double_shot
20260907-220258-953080,20260907-215514-562574,4,94.853,11,23127,10.0,10.0,110.0,231270.0,8.0,12.0,1.9,1.9,1672.0,5272956.0,3153.6818,87,113,population_fire+population;gate_damage;pierce;boss_bounty+population;shotgun
20260907-220507-745165,20260907-215514-562574,5,93.477,8,63715,11.0,11.0,88.0,700865.0,8.8,13.2,1.9,1.9,1471.36,17577694.2,11946.5625,122,133,population_fire+population;gate_damage;pierce;shotgun;growth_gate
20260907-220710-922791,20260907-215514-562574,6,95.314,14,36230,13.0,13.0,192.92,664095.9,10.816,16.016,1.9,1.9,3964.5832,20208703.8754,5097.3086,122,158,population_fire+population;gate_damage;shotgun;growth_gate;growth_core
