logged_at,run_id,world,elapsed_seconds,start_population,final_population,start_base_damage,final_base_damage,start_shot_damage,final_shot_damage,start_fire_rate,final_fire_rate,start_volley_multiplier,final_volley_multiplier,start_dps,final_dps,dps_growth,gold_before_reward,enemy_kills,cards
20260907-233904-290509,20260907-233715-164443,1,109.133,1,603,10.0,10.0,10.0,6030.0,8.0,8.0,1.0,1.0,80.0,48240.0,603.0,9,75,
20260908-165218-910252,20260908-165032-045066,1,105.283,1,425,10.0,10.0,10.0,4250.0,8.0,8.0,1.0,1.0,80.0,34000.0,425.0,14,73,
20260908-165408-978351,20260908-165032-045066,2,99.111,1,1809,13.0,13.0,13.0,23517.0,8.8,8.8,1.0,1.0,114.4,206949.6,1809.0,35,81,damage+fire_rate;splash
20260908-165607-661015,20260908-165032-045066,3,98.858,1,6753,13.0,13.0,13.0,87789.0,8.8,8.8,1.0,1.0,185.9,1255382.7,6753.0,59,93,damage+fire_rate;splash;recruit_gate_bias;critical_chance;critical_power
20260908-165806-128885,20260908-165032-045066,4,99.136,11,7641,13.0,13.0,143.0,99333.0,9.68,9.68,1.0,1.0,2249.39,1562508.09,694.6364,32,110,damage+fire_rate;recruit_gate_bias;critical_chance;critical_power;ricochet_2
20260908-170014-819179,20260908-165032-045066,5,95.487,11,46479,14.0,14.0,154.0,650706.0,10.56,10.56,1.0,1.0,3659.04,15460774.56,4225.3636,37,132,damage+fire_rate;recruit_gate_bias;critical_power;ricochet_3+fire_rate;critical_focus
20260910-195024-659739,20260910-194839-974360,1,104.702,1,857,10.0,10.0,10.0,8570.0,8.0,8.0,1.0,1.0,80.0,68560.0,857.0,14,71,
20260910-195342-902135,20260910-194839-974360,2,95.957,1,4814,10.0,10.0,10.6,67877.4,8.48,10.8408,1.5,1.5,134.832,1103767.9769,8186.2464,22,83,triple_shot;vampire;ramp_fire;growth_arsenal
20260910-195544-591910,20260910-194839-974360,3,95.547,3,10837,16.0,16.0,53.76,254886.24,8.96,11.36,1.5,1.5,722.5344,4343261.5296,6011.1484,44,95,triple_shot;vampire;ramp_fire;growth_arsenal;damage
20260910-195857-178972,20260910-194839-974360,4,94.974,3,13709,11.0,11.0,38.94,230722.47,11.04,11.04,1.5,1.5,644.8464,3820764.1032,5925.0763,49,109,triple_shot;vampire;growth_arsenal;saving+fire_rate;move_speed+fire_rate;gate_damage+overload;elite_harvest+overload
20260910-200123-125546,20260910-194839-974360,5,96.466,5,20396,12.0,12.0,78.0,403840.8,13.44,13.44,1.5,1.5,1572.48,8141430.528,5177.4462,84,137,triple_shot;vampire;growth_arsenal;saving+fire_rate;elite_hunt;elite_harvest+overload;growth_arsenal+overload
20260910-200411-168496,20260910-194839-974360,6,94.327,5,20251,12.0,12.0,78.0,400969.8,13.44,13.44,1.5,1.5,1965.6,10104438.96,5140.6385,202,161,triple_shot;vampire;growth_arsenal;dividend;critical_power_ultra+fire_rate;elite_harvest+overload;decapitate+overload
20260910-200635-829784,20260910-194839-974360,7,93.643,5,142909,37.0,37.0,251.6,9041852.43,6.116,6.116,1.5,1.5,2885.223,103687442.741,35937.4103,293,216,triple_shot;vampire;growth_arsenal;critical_power_ultra+fire_rate;heavy_ca;elite_harvest+overload;decapitate+overload
20260910-201011-506756,20260910-194839-974360,8,113.529,10,9625,2.4,2.4,58.08,61677.0,18.176,82.176,1.5,1.5,1583.4931,7602553.728,4801.1284,250,384,triple_shot;vampire;growth_arsenal;rich_damage+population;ramp_fire_pla;elite_harvest+overload;pierce+overload
20260910-201339-153912,20260910-201155-815147,1,103.355,1,1157,10.0,10.0,10.0,11570.0,8.0,8.0,1.0,1.0,80.0,92560.0,1157.0,14,76,
20260910-201545-568901,20260910-201155-815147,2,95.436,1,4889,10.0,10.0,10.0,48890.0,8.0,8.0,1.3,1.3,104.0,508456.0,4889.0,17,81,vampire;double_shot;boss_damage+overload
20260910-201812-925130,20260910-201155-815147,3,115.566,1,1431,11.0,11.0,11.0,15741.0,8.0,8.0,1.3,1.3,114.4,163706.4,1431.0,34,106,vampire;double_shot;saving;boss_damage+overload
20260910-202040-449818,20260910-201155-815147,4,109.694,3,2642,12.0,12.0,36.0,31704.0,8.8,8.8,1.3,1.3,411.84,362693.76,880.6667,69,118,vampire;double_shot;saving;critical_power;special_profit+damage;boss_damage+overload
20260910-202530-326129,20260910-202348-814459,1,101.529,1,1406,10.0,10.0,10.0,18981.0,8.0,8.0,1.0,1.0,80.0,151848.0,1898.1,14,75,
20260910-202728-819495,20260910-202348-814459,2,96.97,1,2359,18.0,18.0,18.0,42462.0,8.0,12.0,1.0,1.0,144.0,509544.0,3538.5,39,80,damage_plus
20260910-202936-320161,20260910-202348-814459,3,103.412,3,3497,18.0,18.0,108.0,62946.0,8.0,8.0,1.0,1.0,864.0,503568.0,582.8333,77,94,damage_plus;boss_bounty;low_population;growth_recovery;vampire
